Doc,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
1253,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14.161725,0.01,3.858276,0.01,0.01,0.01,0.01,0.01,0.01
1254,0.01,0.01,9.415695,0.01,7.598158,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,18.016142,0.01,0.01,0.01,0.01,0.01,0.01
1255,0.01,0.01,0.01,0.01,0.01,0.01,0.01,21.413818,18.499603,0.01,0.01,0.01,0.01,13.116577,0.01,0.01,0.01,0.01,0.01,0.01
1256,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10.920861,0.01,0.01,0.01,0.01,0.01,64.693413,0.01,0.01,15.094483,0.01,1.33124,0.01
1257,0.01,0.01,0.01,0.01,0.01,0.01,0.01,32.660522,3.359479,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1258,0.01,0.01,0.01,0.01,14.469262,0.01,0.01,16.550737,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1259,0.01,0.01,0.01,0.01,23.32024,0.01,0.01,0.01,5.536335,0.01,0.01,0.01,0.01,7.21408,0.01,0.01,3.969343,0.01,0.01,0.01
1260,0.01,0.01,0.01,0.01,5.472656,0.01,0.01,11.569324,14.988021,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1261,0.01,0.01,0.01,0.01,10.022404,0.01,0.01,0.01,2.04668,0.01,0.01,0.01,0.01,4.960917,0.01,0.01,0.01,0.01,0.01,0.01
1262,0.01,0.01,3.098156,0.01,0.01,0.01,0.01,10.784352,0.01,0.01,0.01,0.01,0.01,20.147488,0.01,0.01,0.01,0.01,0.01,0.01
1263,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25.66605,0.01,0.01,0.01,0.01,0.01,2.353954,0.01,0.01,0.01,0.01,0.01,0.01
1264,0.01,0.01,1.109687,0.01,12.512714,0.01,0.01,9.330254,0.01,0.01,0.01,0.01,0.01,19.087347,0.01,0.01,0.01,0.01,0.01,0.01
1265,0.01,0.01,2.010001,0.01,16.763292,0.01,0.01,4.185981,0.01,0.01,0.01,0.01,1.01,11.080727,0.01,0.01,0.01,0.01,0.01,0.01
1266,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14.090801,4.929199,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1267,0.01,0.01,4.958078,0.01,31.15872,0.01,0.01,117.064491,19.858711,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1268,0.01,0.01,0.939777,0.01,0.01,0.01,0.01,7.51305,0.01,0.01,0.01,0.01,0.01,2.425457,0.01,0.01,0.01,0.01,2.161716,0.01
1269,0.01,0.01,0.924936,0.01,0.01,0.01,0.01,8.907095,0.01,0.01,0.01,0.01,0.01,5.19797,0.01,0.01,0.01,0.01,0.01,0.01
1270,0.01,0.01,0.01,0.01,3.600137,0.01,0.01,0.01,0.01,0.01,5.37111,0.01,0.01,1.64656,0.01,0.01,2.422193,0.01,0.01,0.01
1271,0.01,0.01,0.01,0.01,16.526543,0.01,0.01,0.01,4.559261,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.944196,0.01,0.01,0.01
1272,0.01,0.01,0.01,0.01,0.01,0.01,0.01,19.017859,0.01,0.01,0.01,4.002142,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1273,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,42.951073,0.01,0.01,9.754373,0.01,44.342121,0.01,0.01,9.992422,0.01,0.01,0.01
1274,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16.009998,0.01,0.01,0.01,0.01,0.01,0.01
1275,0.01,0.01,0.01,0.01,0.01,0.01,0.01,18.580112,0.01,0.01,0.01,0.01,0.01,41.439888,0.01,0.01,0.01,0.01,0.01,0.01
1276,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,27.010002,0.01,0.01,0.01,0.01,0.01,0.01
1277,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,35.009995,0.01,0.01,0.01,0.01,0.01,0.01
1278,0.01,0.01,0.01,0.01,23.320549,0.01,0.01,28.163769,2.394123,0.01,0.01,0.01,0.01,42.986786,0.01,0.592555,0.602202,0.01,0.01,0.01
1279,0.01,0.01,6.0121,0.01,38.573151,0.01,0.01,0.01,0.01,0.01,4.161058,0.01,0.01,18.29368,0.01,0.01,0.01,0.01,0.01,0.01
1280,0.01,0.01,0.01,0.01,3.180663,0.01,0.01,0.01,0.01,0.01,1.348553,0.01,0.01,5.500784,0.01,0.01,0.01,0.01,0.01,0.01
1281,0.01,0.01,0.01,0.01,97.452492,0.01,0.01,37.809029,0.01,0.01,0.01,0.01,0.01,41.551105,0.01,0.01,5.227323,0.01,0.01,0.01
1282,0.01,0.01,0.01,0.01,0.01,0.01,0.01,21.740265,0.01,0.01,0.01,2.279739,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1283,0.01,0.01,2.798624,2.010032,10.328875,0.01,0.01,7.497591,8.203773,0.01,0.01,0.01,0.01,33.2211,0.01,0.01,0.01,0.01,0.01,0.01
1284,0.01,0.01,0.01,0.01,38.471962,0.01,0.01,0.01,1.359858,0.01,24.695105,15.493999,0.01,8.029073,0.01,0.01,0.01,0.01,0.01,0.01
1285,0.01,0.01,0.01,0.01,6.76189,0.01,0.01,0.01,2.531724,0.01,0.01,0.01,0.01,34.736389,0.01,0.01,0.01,0.01,0.01,0.01
1286,0.01,0.01,0.01,0.01,2.781498,0.01,0.01,14.181985,1.012016,0.01,0.01,0.01,0.01,22.064503,0.01,0.01,0.01,0.01,0.01,0.01
1287,0.01,0.01,3.979821,0.01,121.79229,0.01,0.01,45.265789,0.01,0.01,4.155172,59.403584,0.01,439.127899,0.01,0.01,1.345623,0.01,0.01,0.01
1288,0.01,0.01,12.7943,0.01,7.297085,0.01,0.01,35.646072,0.01,0.01,0.01,0.01,0.01,26.108135,0.01,0.01,0.01,0.01,3.204401,0.01
1289,0.01,0.01,0.01,0.01,10.785351,0.01,0.01,11.107881,0.01,0.01,3.136768,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1290,0.01,0.01,0.01,0.01,0.01,0.01,1.01,53.424599,0.01,0.01,0.01,1.189881,0.01,30.415508,0.01,0.01,0.01,0.01,0.01,0.01
1291,0.01,0.01,1.511244,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,18.508753,0.01,0.01,0.01,0.01,0.01,0.01
1292,0.01,0.01,16.571831,0.01,0.01,0.01,0.01,41.416939,4.379976,0.01,6.825136,0.01,0.01,90.856125,4.009986,0.01,0.01,0.01,0.01,0.01
1293,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8.736007,0.01,0.01,0.01,0.01,0.01,6.283994,0.01,0.01,0.01,0.01,0.01,0.01
1294,0.01,0.01,0.01,0.01,21.104229,0.01,0.01,0.01,0.01,0.01,17.108116,0.01,0.01,14.817657,0.01,0.01,0.01,0.01,0.01,0.01
1295,0.01,0.01,12.364787,0.01,14.426965,0.01,0.01,19.823931,0.01,0.01,0.01,0.01,0.01,34.230919,0.01,0.01,19.203386,0.01,0.01,0.01
1296,0.01,0.01,16.726738,0.01,33.043598,0.01,0.01,10.639697,18.252445,0.01,0.01,2.699321,0.01,117.954689,0.01,0.01,63.753471,0.01,0.01,0.01
1297,0.01,0.01,4.206139,0.01,28.311878,0.01,0.01,25.511982,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1298,0.01,0.01,0.01,0.01,8.6583,0.01,0.01,16.521812,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.849886,0.01,0.01,0.01
1299,0.01,0.01,0.998596,0.01,0.01,0.01,0.01,28.799065,0.01,0.01,0.01,0.01,0.01,10.232339,0.01,0.01,0.01,0.01,0.01,0.01
1300,0.01,0.01,0.01,0.01,17.41647,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.010015,6.603517,0.01,0.01,0.01,0.01,0.01,0.01
1301,0.01,0.01,11.002765,0.01,36.841953,0.01,0.01,14.736861,0.01,0.01,0.01,0.01,0.01,14.458406,0.01,0.01,0.01,0.01,0.01,0.01
1302,0.01,0.01,24.011059,0.01,50.304684,0.01,0.01,108.200935,3.535688,0.01,0.01,2.466278,0.01,31.541355,0.01,0.01,0.01,0.01,0.01,0.01
1303,0.01,0.01,0.01,0.01,6.736045,0.01,0.01,5.864666,0.01,0.01,0.01,9.42929,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1304,0.01,0.01,0.01,0.01,21.391575,0.01,0.01,11.144843,0.01,0.01,0.01,0.01,0.01,6.493585,0.01,0.01,0.01,0.01,0.01,0.01
1305,0.01,0.01,7.730906,0.01,25.579224,0.01,0.01,1.441932,0.01,0.01,0.01,0.01,1.009985,9.287951,0.01,0.01,0.01,0.01,0.01,0.01
1306,0.01,0.01,1.01015,0.01,0.01,0.01,0.01,36.594566,31.628273,0.01,0.01,5.227047,0.01,18.589962,0.01,0.01,0.01,0.01,0.01,0.01
1307,0.01,0.01,0.01,0.01,11.841601,0.01,0.01,9.277924,2.89367,0.01,1.026806,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1308,0.01,0.01,0.01,0.01,34.130703,0.01,0.01,0.01,28.783541,0.01,0.01,85.115715,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1309,0.01,0.01,0.01,0.01,52.417091,0.01,0.01,1.602911,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1310,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,22.52136,0.01,0.01,12.273036,0.01,0.01,3.235604
1311,0.01,0.01,0.01,0.01,0.01,0.01,0.01,26.823502,9.649028,0.01,0.01,0.01,0.01,4.557466,0.01,0.01,0.01,0.01,0.01,0.01
1312,0.01,0.01,5.101198,0.01,5.89443,0.01,0.01,9.453422,4.705216,0.01,0.01,1.578667,0.01,7.327065,0.01,0.01,0.01,0.01,0.01,0.01
1313,0.01,0.01,0.01,0.01,25.90839,0.01,0.01,18.740088,7.101556,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.289967,0.01,0.01,0.01
